original_message,summary,카테고리,감성,전체 감성
LG기사님이 직접 와서 조립해주셔서 좋았습니다.,"직접 조립, 만족","조립, 서비스","조립: 긍정, 서비스: 긍정",긍정
가격대비에비해 그냥그래여 비싼것같아여,"비싼 가격, 보통 품질","가격, 품질","가격: 부정, 품질: 부정",부정
설치기사님들 설치 잘해주셨습니다 와이프 임신선물로 해줬는데 너무만족입니다,"설치 만족, 임신선물 만족","설치, 선물","설치: 긍정, 선물: 긍정",긍정
안전하게 잘 받았습니다 :),안전 배송,배송,배송: 긍정,긍정
듀얼모니터로 사용할려고 구입. hdmi 케이블도 주심.매우 만족.,"듀얼모니터, hdmi 케이블, 매우 만족","듀얼모니터, hdmi 케이블","듀얼모니터: 긍정, hdmi 케이블: 긍정",긍정
사용 방법이 직관적이어서 60대도 사용하기 편하네요. 이동이 쉽고 넷플릭스 시청시에도 만족합니다.,"직관적 사용, 쉬운 이동, 넷플릭스 만족","사용 방법, 이동, 넷플릭스 시청","사용 방법: 긍정, 이동: 긍정, 넷플릭스 시청: 긍정",긍정
남자친구 생일선물로 서프라이즈 대성공,"서프라이즈 성공, 생일선물","생일선물, 서프라이즈","생일선물: 긍정, 서프라이즈: 긍정",긍정
워낙 좋은제품인데 저렴하게 잘 구매했습니다,"좋은 제품, 저렴한 가격","제품, 가격","제품: 긍정, 가격: 긍정",긍정
배송도 빠르고 상품도 좋아요,"빠른 배송, 좋은 상품","배송, 상품","배송: 긍정, 상품: 긍정",긍정
처음엔 살까말까 고민많이했는데 정말 만족해요 움직이는 27인치 태블릿입니다 대만족이에용!!,"만족, 27인치 태블릿",제품,제품: 긍정,긍정
"왜이제서야 구매했을까라는 생각이 들 정도로 넘넘 만족스럽습니다ㅎㅎ화질도 선명하고, 바퀴도 달려있어 이동시 편하고, 바퀴도 정말 부드럽게 움직이네요!!!","만족, 선명한 화질, 편리한 이동, 부드러운 바퀴","화질, 이동, 바퀴","화질: 긍정, 이동: 긍정, 바퀴: 긍정",긍정
방에서 티비볼수잏어서 조와요,"방, 티비, 좋음","방, 티비","방: 긍정, 티비: 긍정",긍정
사용하기 편해요설치하면서 설명 잘해주셨어요,"편리한 사용, 좋은 설치 설명","사용, 설치","사용: 긍정, 설치: 긍정",긍정
최고예요 고민 진짜많이하고 샀는데 넘좋아요 금액도 매장가서 비교해보고 구입합니다 인테리어효과도있고 사길잘했어요,"만족, 좋은 금액, 인테리어 효과","금액, 인테리어 효과","금액: 긍정, 인테리어 효과: 긍정",긍정
좋아요디자인도성능도,"좋은 디자인, 좋은 성능","디자인, 성능","디자인: 긍정, 성능: 긍정",긍정
터치가 된다눈게 비교 제품들과 채워지지 않는 차이입니다. 스탠바이미 사세용 🤭,"터치 기능, 스탠바이미",기능,기능: 긍정,긍정
빠른 배송 좋아요~,"빠른 배송, 만족",배송,배송: 긍정,긍정
화면이 살짝 작아서 아쉽긴한데 이곳저곳 이동해서 쓸수있어서 넘 좋네요,"작은 화면, 이동성 좋음","화면, 이동성","화면: 부정, 이동성: 긍정",중립
가격은 좀 쎄지만 좋네요.친절한 기사님분이 아침 일찍 방문해서 설치해줬네요.감사합니다.,"높은 가격, 친절한 기사, 빠른 설치","가격, 설치, 서비스","가격: 부정, 설치: 긍정, 서비스: 긍정",긍정
다들 추천하길래 사봤는데 좋네여 화질도 좋고 티비 없는 분들 딱 사면 좋을것같아여 무게도 생각보다 가벼워요,"추천, 좋은 화질, 가벼운 무게","추천, 화질, 무게","추천: 긍정, 화질: 긍정, 무게: 긍정",긍정
Lg 스탠드형 티비 가격대비 좋아요 잘쓰겠습니다.,가격대비 좋음,"가격, 제품","가격: 긍정, 제품: 긍정",긍정
너무 맘에 들어요~~ 아이가 좋아해요,"만족, 아이 만족",제품,제품: 긍정,긍정
진짜 저렴하게 잘 산거같아요 육개월차 무난하게 잘 쓰는중!,"저렴, 무난","가격, 사용","가격: 긍정, 사용: 긍정",긍정
아이가 너무 핸드폰에 메달려서 사줬는데 어디가든 끌고 다니면서 너무 잘 이용하네요~!,"아이 만족, 휴대성 좋음","사용성, 휴대성","사용성: 긍정, 휴대성: 긍정",긍정
잘 받아서 사용중입니다,사용중,사용,사용: 긍정,긍정
와이프 생일선물로 샀습니다침대에서 안나오네요만족합니다,"만족, 생일선물","선물, 사용","선물: 긍정, 사용: 긍정",긍정
배송과 설치기사님 친절하셔서 만족합니다디자인은 이쁘나 성능은 더 써봐야 어떨지 알듯합니다,"친절한 기사, 예쁜 디자인, 성능 미확인","배송, 설치, 디자인, 성능","배송: 긍정, 설치: 긍정, 디자인: 긍정, 성능: 중립",긍정
판매자 분도 친절하시고 설치 기사님도 친절하시고물건도 너무너무 좋습니다. 잘삿네요 ㅎㅎ,"친절한 판매자, 친절한 설치 기사, 좋은 물건","판매자, 설치, 물건","판매자: 긍정, 설치: 긍정, 물건: 긍정",긍정
스텐바이미 정말 잘산거 같아요현대홈쇼핑 에서 아주 착한 가격에 득템했어요배송도 빠르고 설치와 사용 설명도 친절하게 응대해주셔서 감동했어요,"착한 가격, 빠른 배송, 친절한 설치, 사용 설명","가격, 배송, 설치, 사용 설명","가격: 긍정, 배송: 긍정, 설치: 긍정, 사용 설명: 긍정",긍정
