issue,theme,긍정,부정,중립,total
할인 정보,가격 및 구매 옵션,4,0,18,22
할인된 가격,가격 및 구매,16,0,6,22
이동 가능,이동 및 사용 편의성,12,0,10,22
높은 가격,가격 및 구매,0,18,4,22
이동식 TV 거치대,기타,0,0,21,21
거래 방법,거래 및 구매,0,0,20,20
포터블 스크린,디자인 및 외관,1,0,19,20
큰 화면,기타,15,0,5,20
자동 노출,구매 옵션 및 서비스,0,0,19,19
내구성,기능 및 성능,17,0,2,19
"가격 900,000원",거래 및 가격,0,0,19,19
비싼 가격,가격 및 구매,0,19,0,19
스탠바이미 구매 고려,구매 및 소비자 경험,0,0,18,18
이동식 TV,제품 디자인 및 이동성,0,0,18,18
스탠바이미 구매 고민,고객 만족 및 리뷰,0,1,16,17
자유로운 이동,이동성과 휴대성,16,0,1,17
기능에 대한 궁금증,제품 기능 및 성능,0,0,16,16
중고나라 앱/사이트 노출,거래 및 가격,0,0,16,16
직거래만 가능,제품 상태 및 거래,0,0,16,16
이동성,이동성과 휴대성,10,0,5,15
예쁜 디자인,디자인 및 크기,14,0,0,14
새제품,제품 상태 및 제조 정보,2,0,12,14
좋은 제품,인기 및 시장 반응,14,0,0,14
빠른 배송,기타,12,0,2,14
네이버페이 사용,구매 옵션 및 서비스,0,0,14,14
미개봉,기타,0,0,14,14
프라이빗 스크린,이동 및 사용 편의성,3,0,10,13
중고나라 앱,기타,0,0,13,13
고객 직접 설치,제품 이동성 및 설치,0,0,13,13
퀄리티,기타,2,0,11,13
스탠드형,기타,0,0,13,13
빠른 판매 가능,기타,2,0,11,13
고선명 클리어 타입,기타,4,0,9,13
일체형 디자인,디자인 및 공간 활용,2,0,11,13
미개봉 상태,제품 상태 및 신뢰성,1,0,12,13
스탠바이미 추천,마케팅 및 프로모션,11,0,2,13
다양한 기능,제품 스펙 및 기능,12,0,0,12
모바일 화면 공유 가능,사용 용도 및 기능,2,0,10,12
제품 정보 탐색,기타,0,0,12,12
새 제품,기타,3,0,9,12
편리한 사용,편의성과 활용,12,0,0,12
가성비 좋음,가격 및 경제성,12,0,0,12
캠핑에 적합,기타,7,0,4,11
스탠바이미 인기,기타,4,0,7,11
FHD 해상도,제품 기능 및 기술,0,0,11,11
미사용 제품,기타,4,0,7,11
구매 욕구,마케팅 및 이벤트,6,0,5,11
할인 검색,이벤트 및 혜택,0,0,11,11
디자인,기타,4,0,7,11
이벤트 참여,이벤트 및 프로모션,1,0,10,11
구매 고민,제품 구매 및 만족도,0,1,10,11
고화질 화면,화질 및 시청 경험,10,0,0,10
편리함,기타,8,0,2,10
기능 궁금증,기타,0,0,10,10
이동 용이,기타,8,0,2,10
캠핑에서 유용,사용 장소 및 활용,9,0,1,10
성능에 대한 궁금증,기타,0,0,10,10
무게,기타,0,3,7,10
거래 지역,거래 및 구매,0,0,10,10
유튜브 시청,편의성과 활용,1,0,9,10
직거래 선호,구매 옵션 및 서비스,0,0,10,10
편리한 이동,이동 및 휴대성,9,0,0,9
"가격 680,000원",제품 구매 및 거래,0,0,9,9
직거래 희망,거래 및 배송,0,0,9,9
가격 인하,가격 및 거래,4,0,5,9
무선 사용 가능,제품 기능 및 기술,5,0,4,9
미개봉 제품 판매,제품 구매 및 거래,0,0,9,9
가격 차이,기타,0,1,8,9
선명한 화질,화질 및 성능,9,0,0,9
이동식 스탠드,이동성과 휴대성,3,0,6,9
거래 방법 다양,구매 및 거래,0,0,9,9
중고나라 앱 사용,기타,0,0,9,9
스탠바이미 구매,제품 구매 및 기대,3,0,6,9
가격 비교,제품 비교 및 구매 고려,0,0,9,9
직거래 원함,제품 구매 및 거래,0,0,9,9
깔끔한 디자인,디자인 및 인테리어,9,0,0,9
"가격 730,000원",가격 및 거래,0,0,9,9
금액,구매 및 거래,0,0,8,8
네이버페이 송금,부가 서비스 및 결제,0,0,8,8
스탠바이미고 구매,구매 및 가격,0,0,8,8
스탠바이미 고 출시,제품 혁신 및 신제품,1,0,7,8
캠핑용 구매,기타,0,0,8,8
제품 만족,사용자 경험 및 만족도,8,0,0,8
좋은 화질,화질 및 화면,7,0,1,8
인기 있는 제품,인기 및 시장 반응,5,0,3,8
경품 이벤트,이벤트 및 프로모션,0,0,7,7
야외 사용 가능,기타,6,0,1,7
디자인 만족,디자인 및 공간 활용,7,0,0,7
좋은 후기,사용자 경험 및 만족도,7,0,0,7
이쁜 디자인,제품 디자인 및 이동성,7,0,0,7
퀄리티 좋은 제품,제품 정보 및 추천,1,0,6,7
한정판,제품 출시 및 인지도,0,0,7,7
직거래 위치,구매 및 거래 위치,0,0,7,7
캠핑용 TV,디자인 및 혁신,1,0,6,7
편의성,제품 만족도 및 인기,2,0,5,7
규칙 확인 필요,기타,0,0,7,7
흠집 없음,제품 상태 및 거래 조건,5,0,2,7
캠핑,기타,0,0,7,7
캐리백 디자인,제품 디자인 및 이동성,3,0,4,7
택배 가능,기타,1,0,6,7
내장 배터리,기능 및 기술,1,0,6,7
위치 정보,사용 및 설치,0,0,7,7
화질,기능 및 성능,1,0,6,7
캠핑에서 사용 가능,이동식 스마트 TV,4,0,3,7
휴대 편리,제품 내구성 및 휴대성,7,0,0,7
스마트 TV,기능 및 성능,0,0,7,7
세련된 디자인,디자인 및 공간 활용,7,0,0,7
제품 정보,기타,0,0,7,7
할인 가격,가격 및 구매 정보,3,0,4,7
캠핑용 사용,사용 용도 및 적합성,0,0,7,7
거의 사용 안함,제품 상태 및 거래,1,0,6,7
가격에 대한 궁금증,가격 및 거래,0,0,7,7
할인 행사,가격 및 구매,2,0,5,7
다양한 활용,기타,6,0,1,7
스탠바이미 판매,기타,0,0,7,7
캠핑용 모니터,캠핑 및 휴대성,3,0,4,7
후기 고려,제품 평가 및 후기,0,0,7,7
상품 노출,기타 기능 및 고민,0,0,6,6
핫딜 정보,가격 및 거래,0,0,6,6
스피커,제품 디자인 및 기능,0,0,6,6
규칙 확인 요청,기타,0,0,6,6
배송,기타,0,0,6,6
스탠바이미 렌탈,렌탈 및 구독 서비스,0,0,6,6
배송 고려,기타,0,0,6,6
"가격 630,000원",가격 및 구매,0,0,6,6
단순 개봉,제품 상태 및 제조 정보,0,0,6,6
스탠드형 디자인,제품 기능 및 디자인,1,0,5,6
"가격 820,000원",거래 및 가격,0,0,6,6
스탠바이미 만족,제품 만족도,6,0,0,6
캠핑용,아웃도어 및 캠핑,2,0,4,6
캠핑템,캠핑 및 야외 활동,0,0,6,6
"가격 950,000원",거래 및 가격,0,0,6,6
사용하지 않음,기능 및 사용,0,0,6,6
네이버페이 사용 가능,기타,0,0,6,6
선착순 한정,기타,0,0,6,6
구매 망설임,기타,0,0,6,6
OTT 시청,사용 용도 및 기능,2,0,4,6
LG 스탠바이미,브랜드 및 모델,0,0,6,6
음악 감상,제품 사용 경험,4,0,2,6
최저가,가성비 및 가격,3,0,3,6
"가격 550,000원",가격 및 거래,0,0,6,6
미러링 기능,기타,1,0,5,6
모바일 화면 공유,기능 및 사용 편의성,3,0,3,6
스탠바이미고 판매,제품 상태 및 판매,0,0,6,6
휴대용 TV,기타,3,0,3,6
모바일 NFC 기능,기타,3,0,3,6
미개봉 신상품,제품 상태 및 거래,0,0,6,6
스탠바이미 핫딜,구매 및 거래,0,0,6,6
박스 없음,제품 상태 및 거래,0,0,6,6
특가 제공,사용자 경험 및 만족도,1,0,5,6
중고나라 앱 홍보,기타,0,0,5,5
휴대 가능,기타,5,0,0,5
빠른 설치,제품 설치 및 사용,4,0,1,5
렌탈 특가,가격 및 거래,0,0,5,5
스탠바이미 관심,제품 정보 및 추천,0,0,5,5
거래방법: 직거래,구매 및 거래,0,0,5,5
이동형 TV,제품 특성 및 기능,1,0,4,5
합리적인 가격,제품 구매 및 가격,4,0,1,5
스탠바이미 구매 희망,기타,2,0,3,5
캠핑장에서 사용,캠핑 및 야외활동,2,0,3,5
다용도 사용,기타,3,0,2,5
LG 스탠바이미고,기타,0,0,5,5
박스 있음,구매 및 거래,0,0,5,5
캠핑용품,캠핑 및 휴대성,0,0,5,5
직거래 우선,거래 및 가격,0,0,5,5
박스 미개봉,가격 및 상태,0,0,5,5
고화질,화질 및 시청 경험,4,0,1,5
판매,제품 상태 및 판매,0,0,5,5
빠른 품절,가격 및 구매,2,1,2,5
높이 조절 가능,기능 및 사용성,2,0,3,5
가격 부담,가격 및 경제성,0,5,0,5
휴대성 강조,기타,1,0,4,5
구매처 공유,거래 및 구매,1,0,4,5
터치 기능,기능 및 성능,4,0,1,5
구매 추천,사용자 경험 및 만족도,5,0,0,5
"가격 690,000원",가격 및 거래 조건,0,0,5,5
편안함,디자인 및 기능,0,0,5,5
무선 TV,제품 성능 및 기능,1,0,4,5
캠핑 및 여행에서 사용,편의성과 활용,3,0,2,5
택배거래 가능,제품 상태 및 거래,0,0,5,5
스탠바이미 2세대,제품 홍보 및 출시 기대,0,0,5,5
"가격 780,000원",제품 구매 및 거래,0,0,5,5
"가격 790,000원",구매 및 가격 관련,0,0,5,5
"가격 830,000원",거래 및 가격,0,0,5,5
저렴한 구매,구매 및 이벤트,4,0,1,5
사은품 제공,기타,1,0,4,5
TV 미시청,기타,0,0,5,5
구매 만족,제품 만족도,5,0,0,5
가격 고민,가격 및 구매,0,0,5,5
노출 안내,광고 및 마케팅,0,0,5,5
최저가 기회,마케팅 및 프로모션,3,0,2,5
높은 별점,사용자 경험 및 만족도,5,0,0,5
가성비,가성비 및 가격,4,0,1,5
가벼운 무게,제품 디자인 및 크기,5,0,0,5
인기,인기 및 시장 반응,3,0,2,5
렌탈 가능,가격 및 구매,0,0,5,5
배송 지연,이동 및 설치,0,5,0,5
방문설치,기타,0,0,5,5
경품 제공,이벤트 및 혜택,1,0,4,5
가정에서 사용,활용 및 용도,2,0,3,5
라이프스타일 스크린,캠핑 및 휴대성,0,0,5,5
터치 디스플레이,제품 기능 및 기술,0,0,4,4
거치대,기타,0,0,4,4
부피 큼,기타,0,0,4,4
"가격 750,000 원",구매 및 가격 관련,0,0,4,4
스탠바이미고,기타,0,0,4,4
거의 새 제품,제품 상태 및 거래,4,0,0,4
정가 양도,가격 및 거래,0,0,4,4
노출 관련 안내,기타,0,0,4,4
피크닉에서 사용,구성 및 설치,3,0,1,4
"가격 1,000,000원",가격 및 상태,0,0,4,4
핸드폰 미러링,기타,1,0,3,4
스탠바이미 TV,제품 특성 및 용도,0,0,4,4
"가격 1,050,000원",제품 및 가격 정보,0,0,4,4
할인 제품,가격 및 구매 고려,2,0,2,4
택배 거래 가능,구매 및 거래,0,0,4,4
다양한 스크린 모드,사용자 경험 및 기능,1,0,3,4
가격 협상 가능,거래 및 가격,0,0,4,4
구입 3-4개월,제품 상태 및 거래 조건,0,0,4,4
캠핑 감성,라이프스타일 및 경험,1,0,3,4
사기글,기타,0,4,0,4
스탠바이미 특가,가격 및 구매,0,0,4,4
스탠바이미 구매 만족,스탠바이미 제품 및 기능,4,0,0,4
제품 고장,문제 및 불만,0,4,0,4
LG 스탠바이미 공식 카페 초대,제품 판매 및 혜택,0,0,4,4
"거래방법: 직거래, 택배거래",기타,0,0,4,4
직접결제(네이버페이 송금),거래 및 구매,0,0,4,4
새 상품,제품 상태 및 신뢰성,0,0,4,4
인기 많음,제품 구매 및 결정,1,0,3,4
판매량 많음,기타,3,0,1,4
야외 사용,캠핑 및 야외 활동,1,0,3,4
터치 사용,기술 및 기능,1,0,3,4
블루라이트 차단,기타,2,0,2,4
새상품 상태,제품 상태 및 가격,4,0,0,4
집에서 사용,기타,1,0,3,4
캠핑용 포터블 모니터,캠핑 및 야외 활용,3,0,1,4
조용한 술집,기타,4,0,0,4
하프스터디 신청 혜택,기타,1,0,3,4
27인치 디스플레이,제품 기능 및 디자인,0,0,4,4
뛰어난 휴대성,이동 및 휴대성,4,0,0,4
최저가 구매,가격 및 구매,1,0,3,4
실용성,기타,3,0,1,4
캠핑 빔프로젝터,기타,0,0,4,4
많은 관심,제품 평가 및 후기,0,0,4,4
실사용시간 1시간 미만,제품 상태 및 거래 조건,0,0,4,4
스탠바이미 고,제품 및 브랜드 인식,0,0,4,4
구매 고려,구매 및 경제성,0,0,4,4
캠핑 사용,사용 용도 및 기능,0,0,4,4
디자인 예쁨,디자인 및 편의성,4,0,0,4
가격 다양성,가격 및 거래,0,0,4,4
분위기 좋은 술집,기타,4,0,0,4
신제품,구매 및 소비자 경험,0,0,4,4
대형 스크린,화면 및 콘텐츠,0,0,4,4
화면 회전 가능,기능 및 사용 편의성,1,0,3,4
미개봉 새제품 판매,제품 상태 및 거래,0,0,4,4
"가격 2,000원",제품 및 가격 정보,0,0,4,4
예약 중,기타,0,0,4,4
제품 기능 궁금증,제품 기능 및 사용,0,0,4,4
다양한 기기 연결 가능,기술 및 기능,2,0,2,4
특가 정보,구매 및 거래,0,0,4,4
거래방법,기타,0,0,4,4
캠핑 및 가정에서 사용,사용 환경 및 조건,3,0,1,4
화면 미러링,기능 및 성능,2,0,2,4
화면 크기,기타,1,0,3,4
개인 거래 완료,거래 및 가격,0,0,4,4
"가격 870,000원",제품 상태 및 가격,0,0,4,4
미개봉 신품,제품 상태 및 제조 정보,0,0,4,4
스탠바이미go 핫딜,구매 및 거래,0,0,4,4
구매 시기,구매 및 거래,0,0,4,4
빠른 완판,기타,4,0,0,4
이벤트,제품 출시 및 홍보,0,0,4,4
이벤트 경품,이벤트 및 프로모션,0,0,4,4
삶의 질 향상,사용자 경험 및 만족도,4,0,0,4
유튜브 및 넷플릭스 시청,제품 기능 및 사용성,3,0,1,4
제품 인기,인기 및 시장 반응,2,0,2,4
튼튼한 내구성,제품 내구성 및 성능,4,0,0,4
침대에서 TV 시청,사용 환경 및 편리성,3,0,1,4
2세대 모델,신제품 및 모델,0,0,4,4
우수한 음질,기능 및 성능,4,0,0,4
"가격 810,000원",제품 상태 및 가격,0,0,4,4
"가격 590,000원",제품 상태 및 가격,0,0,4,4
상태 좋음,기타,4,0,0,4
이벤트 혜택,이벤트 및 혜택,1,0,3,4
제품 판매,거래 및 구매,0,0,4,4
LED 디스플레이,제품 기능 및 기술,0,0,4,4
급처,기타,0,0,4,4
게임 가능,제품 특성 및 기능,0,0,4,4
개봉일,영화 및 미디어,0,0,4,4
개인거래 완료,거래 및 구매,0,0,4,4
새제품 미개봉,거래 및 구매,0,0,4,4
출고가,가격 및 프로모션,0,0,4,4
휴대용 소형 포터블 TV,이동 및 휴대성,0,0,4,4
음성인식 기능,기능 및 사용성,1,0,3,4
이동식 모니터,이동 및 휴대성,1,0,3,4
제품명: 스탠바이미고,기타,0,0,4,4
스탠바이미 제품,기타,0,0,4,4
스마트 기능,기능 및 성능,1,0,3,4
스탠바이미 및 사운드바 판매,제품 판매 및 혜택,0,0,4,4
터치스크린,기타,3,0,1,4
이동식 스탠드 거치대,이동 및 사용 편의성,0,0,4,4
미러링,기능 및 성능,1,0,3,4
NFC 기능,기능 및 성능,2,0,1,3
강력한 내구성,제품 내구성 및 휴대성,3,0,0,3
높은 활용도,디자인 및 공간 활용,3,0,0,3
사용 기간,기타,0,0,3,3
캠핑 TV 추천,제품 추천 및 체험,2,0,1,3
전용가방 포함,제품 특징 및 비교,0,0,3,3
스탠바이미 고 가격,가격 및 할인,0,0,3,3
생산성,디자인 및 기능,0,0,3,3
캠핑 필수 아이템,사용 환경 및 장소,3,0,0,3
택배 배송 가능,거래 및 배송 관련,0,0,3,3
사용 계획 없음,제품 특징 및 활용,0,0,3,3
스탠바이미 제공,기타,1,0,2,3
새상품 판매,제품 상태 및 사용,0,0,3,3
괜찮은 화질,사용자 경험,3,0,0,3
스탠바이미 선택 만족,기타,3,0,0,3
LP바,기타,0,0,3,3
이용규칙,기타,0,0,3,3
뛰어난 성능,성능 및 기술,3,0,0,3
사용 기간: 6개월,구매 및 거래,0,0,3,3
새제품 판매,제품 상태 및 판매,0,0,3,3
초캠장터 규칙,기타,0,0,3,3
모바일 리모컨 지원,사용 만족 및 편의성,1,0,2,3
택배 배송,배송 및 수령,0,0,3,3
높은 인기,고객 만족 및 리뷰,3,0,0,3
모델명,기타,0,0,3,3
모델명 27LX5QKNA,제품 활용 및 기능,0,0,3,3
외부 사용 없음,제품 특징 및 사용,0,0,3,3
휴대용 모니터,캠핑 및 휴대성,0,0,3,3
모델명 차이,기타,0,0,3,3
튼튼한 스탠드,내구성 및 안전성,3,0,0,3
구매 어려움,기타,0,3,0,3
출연진 정보,영화 및 문화,0,0,3,3
카드 할인,가격 및 할인,1,0,2,3
모바일 거치대 미제공,기타,0,3,0,3
"가격 890,000원",가격 및 상태,0,0,3,3
내구성 테스트 통과,제품 내구성 및 성능,3,0,0,3
저렴한 구매 방법,가격 및 구매,1,0,2,3
"가격 880,000원",제품 상태 및 가격,0,0,3,3
캠핑TV,기타,0,0,3,3
스탠바이미 GO 출시,신제품 및 모델,0,0,3,3
TV 없는 가정에서 유용,사용 환경 및 활용도,3,0,0,3
친절한 설치,사용자 경험 및 만족도,3,0,0,3
홈캠핑,기타,2,0,1,3
"가격 800,000 원",제품 구매 및 거래,0,0,3,3
품절 대란,사용자 경험 및 만족도,0,0,3,3
스탠바이미고 제공,기타,2,0,1,3
품절,구매 및 소비자 경험,0,2,1,3
모바일 기기 연결,기능 및 호환성,3,0,0,3
"가격 770,000원",가격 및 거래,0,0,3,3
스탠바이미 언급,기타,0,0,3,3
캠핑 1회 사용,제품 특징 및 사용,0,0,3,3
스탠드 형태,제품 기능 및 디자인,0,0,3,3
스탠바이미 거치대,기타,0,0,3,3
휴대성 강화,기타,2,0,1,3
홈 엔터테인먼트 혁신,제품 성능 및 기능,2,0,1,3
구매 결정,제품 구매 및 결정,0,0,3,3
새상품 미개봉,제품 상태 및 포장,0,0,3,3
27인치 모니터,기타,0,0,3,3
스탠바이미 가격,기타,0,2,1,3
거래 희망 지역 초평동,제품 구매 및 거래,0,0,3,3
HDMI 연결,제품 및 기술 사양,1,0,2,3
최저가 할인,제품 구매 및 가격,0,0,3,3
추천,기타,3,0,0,3
최저가 핫딜,기타,3,0,0,3
한정 판매,가격 및 거래,0,0,3,3
사용 편의성,기타,3,0,0,3
사용 횟수 적음,제품 특징 및 사용,0,0,3,3
터치 작동,사용 용도 및 기능,3,0,0,3
아이두젠 가방 포함,기타,0,0,3,3
예약중,기타,0,0,3,3
가격 경쟁력,제품 구매 및 경제성,3,0,0,3
넷플릭스 시청,사용자 경험 및 기능,1,0,2,3
스탠드형 TV,스탠드 및 설치 관련,0,0,3,3
무선 사용 시간,사용자 편의성 및 이동성,0,0,3,3
무료 설치,이동 및 설치,2,0,1,3
스탠바이미고 핫딜,제품 특징 및 기능,0,0,3,3
직거래 및 택배 거래 가능,거래 및 판매 관련,0,0,3,3
"가격 1,300,000원",가격 및 상태,0,0,3,3
LG 스탠바이미 경품,소비자 혜택 및 이벤트,0,0,3,3
LG 스탠바이미 고,기타,0,0,3,3
이동식 거치대,제품 기능 및 사용성,0,0,3,3
서촌 분위기 좋은 술집,라이프스타일 및 경험,3,0,0,3
"가격 1,150,000원",기타,0,0,3,3
구성품 포함,사용자 경험,1,0,2,3
LG 스탠바이미 관심,기타,2,0,1,3
"가격 500,000원",가격 및 거래 조건,0,0,3,3
"가격 1,100,000원",가격 및 렌탈,0,0,3,3
부산 직거래,구매 및 거래 위치,0,0,3,3
크기,기타,0,0,3,3
LG 스탠바이미 출시,브랜드 및 광고,0,0,3,3
스탠바이미 티비 핫딜,구매 및 거래,0,0,3,3
스펙 정보,기타,0,0,3,3
4개월 사용,기타,0,0,3,3
직거래 필요,거래 및 배송 관련,0,0,3,3
캠핑 수납가방 포함,사용자 경험,0,0,3,3
크기 큼,부가 정보 및 기타,0,2,1,3
대단한 제품,기타,3,0,0,3
화질 저하,기타,0,3,0,3
대구 직거래,거래 및 가격,0,0,3,3
화질 차이,기타,0,0,3,3
"거래 희망 지역: 공덕동, 연희동, 여의동",지역 및 거래 조건,0,0,3,3
제품 선택 고민,제품 비교 및 선택 고민,0,0,3,3
스탠바이미고 미개봉,제품 및 가격 정보,0,0,3,3
편리한 휴대성,사용 사례 및 추천,3,0,0,3
가방 필요,기타,0,0,3,3
액정 깨짐,제품 상태 및 문제,0,3,0,3
스탠바이미 선택,특정 사용자 및 활용 사례,1,0,2,3
연결 문제,기타,0,3,0,3
좋은 분위기,기타,3,0,0,3
세일,가격 및 거래,1,0,2,3
스탠바이미 선물,구매 및 소비,1,0,2,3
캠핑족에게 인기,라이프스타일 및 경험,3,0,0,3
"가격 30,000원",기타,0,0,3,3
특가 판매,가격 및 거래,0,0,3,3
스티븐 킹 원작,기타,0,0,3,3
액정 보호 필름,기타,0,0,3,3
제품 무게,디자인 및 크기,0,0,3,3
작은 화면,디자인 및 공간 활용,0,2,1,3
캠핑족 관심,캠핑 및 야외 사용,1,0,2,3
이동형 모니터,제품 및 기술 사양,1,0,2,3
캠핑족 겨냥,제품 활용 및 기능,0,0,3,3
중고 구매,가격 및 구매 옵션,0,0,3,3
영어 공부,사용 환경 및 편리성,0,0,3,3
스탠바이미 사용,기타,0,0,3,3
독특한 디자인,디자인 및 공간 활용,3,0,0,3
혁신적인 디자인,디자인 및 혁신,3,0,0,3
각도 조절 가능,스탠드 및 화면 조절,1,0,2,3
구성품,사용 용도 및 기능,0,0,3,3
공간 절약,제품 내구성 및 휴대성,2,0,1,3
스탠드,제품 디자인 및 기능,0,0,3,3
인터넷 연결 문제,제품 특징 및 활용,0,3,0,3
스탠바이미,기타,0,0,3,3
할인 특가 정보,가격 및 거래,0,0,3,3
가격대 있음,가격 및 구매,0,1,2,3
만족스러운 화질,기술 및 성능,3,0,0,3
다양한 용도 활용,기타,1,0,2,3
블루투스 스피커 활용,제품 기능 및 성능,2,0,1,3
다양한 연결 옵션,제품 성능 및 기능,2,0,1,3
인테리어 효과,디자인 및 스타일,3,0,0,3
로켓배송,배송 및 설치,2,0,1,3
터치 스크린,제품 활용 및 기능,1,0,2,3
금액에 대한 궁금증,가격 및 거래,0,0,3,3
간편함,사용 만족 및 편의성,3,0,0,3
32인치,제품 특징 및 구성,0,0,3,3
다양한 장소에서 사용 가능,사용 장소 및 활용,3,0,0,3
후기 좋음,사회 및 커뮤니티,3,0,0,3
매력적인 디자인,제품 디자인 및 기능,1,0,2,3
이용 규칙,기타,0,0,3,3
캠핑용 TV 추천,사용 사례 및 추천,3,0,0,3
테스트 사용,기타,0,0,3,3
가격 제안,제품 구매 및 경제성,0,0,3,3
기능 정보 필요,제품 기능 및 성능,0,0,3,3
거래 희망 지역: 논현1동,기타,0,0,3,3
미개봉/새제품,제품 상태 및 포장,0,0,3,3
미개봉 판매,거래 및 가격,0,0,3,3
2세대 출시 기대,기타,1,0,2,3
FHD 화질,제품 스펙 및 기능,0,0,3,3
영화 스탠 바이 미,영화 및 문학 관련,0,0,3,3
서울 중구 거래,지역 및 거래 조건,0,0,3,3
캠핑 티비,캠핑 및 휴대성,0,0,3,3
신제품 출시,마케팅 및 프로모션,0,0,3,3
밀리터리 스탠다드 테스트 통과,제품 기능 및 성능,3,0,0,3
캠핑용으로 좋음,캠핑 및 야외 활용,3,0,0,3
KB Pay 이벤트,소비자 혜택 및 이벤트,0,0,3,3
"거래방법: 직거래, 택배거래, 편의점픽업",거래 및 가격,0,0,3,3
분위기 좋음,라이프스타일 및 경험,3,0,0,3
이동 불편,사용자 경험,0,3,0,3
LG 스탠바이미고 경품,브랜드 및 인기,1,0,2,3
정상 작동,제품 성능 및 기능,3,0,0,3
핫한 제품,구매 및 소비자 반응,3,0,0,3
공식 카페 초대,제품 판매 및 혜택,0,0,3,3
만족스러운 사용,사용자 경험,3,0,0,3
거래방법: 택배거래,기타,0,0,3,3
만족스러운 제품,사용자 경험 및 만족도,3,0,0,3
할인 혜택,가격 및 구매,3,0,0,3
캠핑 티비 판매,캠핑 및 휴대성,0,0,2,2
택배 안심 거래 가능,거래 및 구매 방법,1,0,1,2
개인거래 판매,구매 및 거래,0,0,2,2
택배 조율 가능,기타,0,0,2,2
상품명: 스탠바이미 고,기타,0,0,2,2
캠핑 필수품,캠핑 및 야외활동,2,0,0,2
택배 착불,기타,0,0,2,2
캠핑 적합,캠핑 및 휴대성,1,0,1,2
캠핑 적합성 의문,사용 용도 및 적합성,0,2,0,2
견고한 내구성,기타,2,0,0,2
구매 의사,기타,2,0,0,2
개인거래 판매 완료,거래 및 판매 관련,0,0,2,2
캠핑 최적화,라이프스타일 적합성,2,0,0,2
수면 개선,편안함 및 건강,1,0,1,2
여행 및 캠핑 사용,사용 장소 및 활용,0,0,2,2
결제 방식,결제 및 구매 관련,0,0,2,2
쿠팡 판매 시작,구매 및 배송,0,0,2,2
구매 시기: 2023.09월,기타,0,0,2,2
서촌 데이트 장소,기타,2,0,0,2
캠핑티비,아웃도어 및 캠핑,0,0,2,2
크기 문제,기타,0,2,0,2
공간 부족,스탠바이미 제품,0,2,0,2
크기 애매함,사용 경험 및 평가,0,2,0,2
거의 새상품,사용 경험 및 후기,1,0,1,2
거의 새 상품,제품 상태 및 제조 정보,1,0,1,2
캠핑용품 구매,기타,0,0,2,2
거실에 TV 없음,기타,0,0,2,2
세팅 고민,기타,0,2,0,2
경품 당첨,프로모션 및 혜택,1,0,1,2
서울 직거래,구매 및 거래,0,0,2,2
영업시간 정보,기타,0,0,2,2
거실 인테리어,사용 환경 및 장소,0,0,2,2
거실 공간 부족,사용 용도 및 환경,0,0,2,2
경품 기회,마케팅 및 프로모션,2,0,0,2
크고 무거움,기타,0,1,1,2
거치대 필요,기타,0,0,2,2
캠핑퍼스트 회원 혜택,캠핑 및 휴대성,0,0,2,2
여가생활 향상,사용 경험 및 인기,2,0,0,2
